Breed,Trait,Trait_Score
Bloodhounds,Playfulness Level,3
Bloodhounds,Watchdog/Protective Nature,2
Bloodhounds,Adaptability Level,3
Bloodhounds,Trainability Level,4
Bloodhounds,Energy Level,3
Bloodhounds,Barking Level,5
Bloodhounds,Mental Stimulation Needs,3
Spaniels (English Cocker),Affectionate With Family,5
Spaniels (English Cocker),Good With Young Children,5
Spaniels (English Cocker),Good With Other Dogs,5
Spaniels (English Cocker),Shedding Level,3
Spaniels (English Cocker),Coat Grooming Frequency,3
Spaniels (English Cocker),Drooling Level,2
Spaniels (English Cocker),Coat Type,Double
Spaniels (English Cocker),Coat Length,Medium
Spaniels (English Cocker),Openness To Strangers,4
Spaniels (English Cocker),Playfulness Level,3
Spaniels (English Cocker),Watchdog/Protective Nature,3
Spaniels (English Cocker),Adaptability Level,4
Spaniels (English Cocker),Trainability Level,4
Spaniels (English Cocker),Energy Level,3
Spaniels (English Cocker),Barking Level,3
Spaniels (English Cocker),Mental Stimulation Needs,4
Akitas,Affectionate With Family,3
Akitas,Good With Young Children,3
Akitas,Good With Other Dogs,1
Akitas,Shedding Level,3
Akitas,Coat Grooming Frequency,3
Akitas,Drooling Level,1
Akitas,Coat Type,Double
Akitas,Coat Length,Medium
Akitas,Openness To Strangers,2
Akitas,Playfulness Level,3
Akitas,Watchdog/Protective Nature,5
Akitas,Adaptability Level,3
Akitas,Trainability Level,3
Akitas,Energy Level,4
Akitas,Barking Level,2
Akitas,Mental Stimulation Needs,3
Portuguese Water Dogs,Affectionate With Family,5
Portuguese Water Dogs,Good With Young Children,5
Portuguese Water Dogs,Good With Other Dogs,4
Portuguese Water Dogs,Shedding Level,2
Portuguese Water Dogs,Coat Grooming Frequency,4
Portuguese Water Dogs,Drooling Level,2
Portuguese Water Dogs,Coat Type,Curly
Portuguese Water Dogs,Coat Length,Long
Portuguese Water Dogs,Openness To Strangers,4
Portuguese Water Dogs,Playfulness Level,5
Portuguese Water Dogs,Watchdog/Protective Nature,4
Portuguese Water Dogs,Adaptability Level,5
Portuguese Water Dogs,Trainability Level,5
Portuguese Water Dogs,Energy Level,5
Portuguese Water Dogs,Barking Level,3
Portuguese Water Dogs,Mental Stimulation Needs,5
Retrievers (Chesapeake Bay),Affectionate With Family,4
Retrievers (Chesapeake Bay),Good With Young Children,3
Retrievers (Chesapeake Bay),Good With Other Dogs,3
Retrievers (Chesapeake Bay),Shedding Level,3
Retrievers (Chesapeake Bay),Coat Grooming Frequency,3
Retrievers (Chesapeake Bay),Drooling Level,2
Retrievers (Chesapeake Bay),Coat Type,Wiry
Retrievers (Chesapeake Bay),Coat Length,Medium
Retrievers (Chesapeake Bay),Openness To Strangers,3
Retrievers (Chesapeake Bay),Playfulness Level,3
Retrievers (Chesapeake Bay),Watchdog/Protective Nature,4
Retrievers (Chesapeake Bay),Adaptability Level,4
Retrievers (Chesapeake Bay),Trainability Level,5
Retrievers (Chesapeake Bay),Energy Level,4
Retrievers (Chesapeake Bay),Barking Level,3
Retrievers (Chesapeake Bay),Mental Stimulation Needs,4
Dalmatians,Affectionate With Family,5
Dalmatians,Good With Young Children,3
Dalmatians,Good With Other Dogs,3
Dalmatians,Shedding Level,4
Dalmatians,Coat Grooming Frequency,2
Dalmatians,Drooling Level,2
Dalmatians,Coat Type,Smooth
Dalmatians,Coat Length,Short
Dalmatians,Openness To Strangers,4
Dalmatians,Playfulness Level,4
Dalmatians,Watchdog/Protective Nature,4
Dalmatians,Adaptability Level,4
Dalmatians,Trainability Level,4
Dalmatians,Energy Level,4
Dalmatians,Barking Level,3
Dalmatians,Mental Stimulation Needs,4
St. Bernards,Affectionate With Family,5
St. Bernards,Good With Young Children,5
St. Bernards,Good With Other Dogs,3
St. Bernards,Shedding Level,3
St. Bernards,Coat Grooming Frequency,2
St. Bernards,Drooling Level,5
St. Bernards,Coat Type,Smooth
St. Bernards,Coat Length,Short
St. Bernards,Openness To Strangers,3
St. Bernards,Playfulness Level,3
St. Bernards,Watchdog/Protective Nature,5
St. Bernards,Adaptability Level,4
St. Bernards,Trainability Level,3
St. Bernards,Energy Level,3
St. Bernards,Barking Level,1
St. Bernards,Mental Stimulation Needs,3
Papillons,Affectionate With Family,5
Papillons,Good With Young Children,5
Papillons,Good With Other Dogs,3
Papillons,Shedding Level,3
Papillons,Coat Grooming Frequency,2
Papillons,Drooling Level,1
Papillons,Coat Type,Silky
Papillons,Coat Length,Medium
Papillons,Openness To Strangers,5
Papillons,Playfulness Level,5
Papillons,Watchdog/Protective Nature,4
Papillons,Adaptability Level,5
Papillons,Trainability Level,5
Papillons,Energy Level,4
Papillons,Barking Level,5
Papillons,Mental Stimulation Needs,5
Australian Cattle Dogs,Affectionate With Family,3
Australian Cattle Dogs,Good With Young Children,3
Australian Cattle Dogs,Good With Other Dogs,3
Australian Cattle Dogs,Shedding Level,3
Australian Cattle Dogs,Coat Grooming Frequency,1
Australian Cattle Dogs,Drooling Level,1
Australian Cattle Dogs,Coat Type,Smooth
Australian Cattle Dogs,Coat Length,Short
Australian Cattle Dogs,Openness To Strangers,3
Australian Cattle Dogs,Playfulness Level,3
Australian Cattle Dogs,Watchdog/Protective Nature,4
Australian Cattle Dogs,Adaptability Level,3
Australian Cattle Dogs,Trainability Level,4
Australian Cattle Dogs,Energy Level,5
Australian Cattle Dogs,Barking Level,1
Australian Cattle Dogs,Mental Stimulation Needs,4
Bullmastiffs,Affectionate With Family,4
Bullmastiffs,Good With Young Children,3
Bullmastiffs,Good With Other Dogs,3
Bullmastiffs,Shedding Level,3
Bullmastiffs,Coat Grooming Frequency,1
Bullmastiffs,Drooling Level,3
Bullmastiffs,Coat Type,Smooth
Bullmastiffs,Coat Length,Short
Bullmastiffs,Openness To Strangers,3
Bullmastiffs,Playfulness Level,3
Bullmastiffs,Watchdog/Protective Nature,5
Bullmastiffs,Adaptability Level,3
Bullmastiffs,Trainability Level,4
Bullmastiffs,Energy Level,4
Bullmastiffs,Barking Level,1
Bullmastiffs,Mental Stimulation Needs,4
Samoyeds,Affectionate With Family,5
Samoyeds,Good With Young Children,5
Samoyeds,Good With Other Dogs,3
Samoyeds,Shedding Level,3
Samoyeds,Coat Grooming Frequency,3
Samoyeds,Drooling Level,1
Samoyeds,Coat Type,Double
Samoyeds,Coat Length,Long
Samoyeds,Openness To Strangers,5
Samoyeds,Playfulness Level,5
Samoyeds,Watchdog/Protective Nature,4
Samoyeds,Adaptability Level,4
Samoyeds,Trainability Level,4
Samoyeds,Energy Level,4
Samoyeds,Barking Level,5
Samoyeds,Mental Stimulation Needs,4
Scottish Terriers,Affectionate With Family,5
Scottish Terriers,Good With Young Children,3
Scottish Terriers,Good With Other Dogs,2
Scottish Terriers,Shedding Level,2
Scottish Terriers,Coat Grooming Frequency,3
Scottish Terriers,Drooling Level,2
Scottish Terriers,Coat Type,Wiry
Scottish Terriers,Coat Length,Medium
Scottish Terriers,Openness To Strangers,3
Scottish Terriers,Playfulness Level,4
Scottish Terriers,Watchdog/Protective Nature,5
Scottish Terriers,Adaptability Level,4
Scottish Terriers,Trainability Level,3
Scottish Terriers,Energy Level,3
Scottish Terriers,Barking Level,4
Scottish Terriers,Mental Stimulation Needs,4
Soft Coated Wheaten Terriers,Affectionate With Family,5
Soft Coated Wheaten Terriers,Good With Young Children,5
Soft Coated Wheaten Terriers,Good With Other Dogs,3
Soft Coated Wheaten Terriers,Shedding Level,1
Soft Coated Wheaten Terriers,Coat Grooming Frequency,4
Soft Coated Wheaten Terriers,Drooling Level,2
Soft Coated Wheaten Terriers,Coat Type,Wavy
Soft Coated Wheaten Terriers,Coat Length,Medium
Soft Coated Wheaten Terriers,Openness To Strangers,3
Soft Coated Wheaten Terriers,Playfulness Level,3
Soft Coated Wheaten Terriers,Watchdog/Protective Nature,3
Soft Coated Wheaten Terriers,Adaptability Level,3
Soft Coated Wheaten Terriers,Trainability Level,3
Soft Coated Wheaten Terriers,Energy Level,4
Soft Coated Wheaten Terriers,Barking Level,3
Soft Coated Wheaten Terriers,Mental Stimulation Needs,3
Whippets,Affectionate With Family,5
Whippets,Good With Young Children,5
Whippets,Good With Other Dogs,5
Whippets,Shedding Level,2
Whippets,Coat Grooming Frequency,1
Whippets,Drooling Level,1
Whippets,Coat Type,Smooth
Whippets,Coat Length,Short
Whippets,Openness To Strangers,3
Whippets,Playfulness Level,4
Whippets,Watchdog/Protective Nature,3
Whippets,Adaptability Level,3
Whippets,Trainability Level,3
Whippets,Energy Level,4
Whippets,Barking Level,1
Whippets,Mental Stimulation Needs,4
Pointers (German Wirehaired),Affectionate With Family,5
Pointers (German Wirehaired),Good With Young Children,3
Pointers (German Wirehaired),Good With Other Dogs,3
Pointers (German Wirehaired),Shedding Level,2
Pointers (German Wirehaired),Coat Grooming Frequency,2
Pointers (German Wirehaired),Drooling Level,2
Pointers (German Wirehaired),Coat Type,Wiry
Pointers (German Wirehaired),Coat Length,Medium
Pointers (German Wirehaired),Openness To Strangers,4
Pointers (German Wirehaired),Playfulness Level,4
Pointers (German Wirehaired),Watchdog/Protective Nature,3
Pointers (German Wirehaired),Adaptability Level,4
Pointers (German Wirehaired),Trainability Level,5
Pointers (German Wirehaired),Energy Level,5
Pointers (German Wirehaired),Barking Level,3
Pointers (German Wirehaired),Mental Stimulation Needs,4
Chinese Shar-Pei,Affectionate With Family,4
Chinese Shar-Pei,Good With Young Children,3
Chinese Shar-Pei,Good With Other Dogs,3
Chinese Shar-Pei,Shedding Level,3
Chinese Shar-Pei,Coat Grooming Frequency,1
Chinese Shar-Pei,Drooling Level,3
Chinese Shar-Pei,Coat Type,Smooth
Chinese Shar-Pei,Coat Length,Short
Chinese Shar-Pei,Openness To Strangers,3
Chinese Shar-Pei,Playfulness Level,3
Chinese Shar-Pei,Watchdog/Protective Nature,4
Chinese Shar-Pei,Adaptability Level,4
Chinese Shar-Pei,Trainability Level,3
Chinese Shar-Pei,Energy Level,3
Chinese Shar-Pei,Barking Level,3
Chinese Shar-Pei,Mental Stimulation Needs,3
Airedale Terriers,Affectionate With Family,3
Airedale Terriers,Good With Young Children,3
Airedale Terriers,Good With Other Dogs,3
Airedale Terriers,Shedding Level,1
Airedale Terriers,Coat Grooming Frequency,3
Airedale Terriers,Drooling Level,1
Airedale Terriers,Coat Type,Wiry
Airedale Terriers,Coat Length,Short
Airedale Terriers,Openness To Strangers,3
Airedale Terriers,Playfulness Level,3
Airedale Terriers,Watchdog/Protective Nature,5
Airedale Terriers,Adaptability Level,3
Airedale Terriers,Trainability Level,3
Airedale Terriers,Energy Level,3
Airedale Terriers,Barking Level,3
Airedale Terriers,Mental Stimulation Needs,3
Wirehaired Pointing Griffons,Affectionate With Family,5
Wirehaired Pointing Griffons,Good With Young Children,5
Wirehaired Pointing Griffons,Good With Other Dogs,3
Wirehaired Pointing Griffons,Shedding Level,3
Wirehaired Pointing Griffons,Coat Grooming Frequency,2
Wirehaired Pointing Griffons,Drooling Level,3
Wirehaired Pointing Griffons,Coat Type,Wiry
Wirehaired Pointing Griffons,Coat Length,Medium
Wirehaired Pointing Griffons,Openness To Strangers,5
Wirehaired Pointing Griffons,Playfulness Level,4
Wirehaired Pointing Griffons,Watchdog/Protective Nature,3
Wirehaired Pointing Griffons,Adaptability Level,4
Wirehaired Pointing Griffons,Trainability Level,5
Wirehaired Pointing Griffons,Energy Level,5
Wirehaired Pointing Griffons,Barking Level,3
Wirehaired Pointing Griffons,Mental Stimulation Needs,5
Bull Terriers,Affectionate With Family,4
Bull Terriers,Good With Young Children,3
Bull Terriers,Good With Other Dogs,1
Bull Terriers,Shedding Level,3
Bull Terriers,Coat Grooming Frequency,2
Bull Terriers,Drooling Level,1
Bull Terriers,Coat Type,Smooth
Bull Terriers,Coat Length,Short
Bull Terriers,Openness To Strangers,4
Bull Terriers,Playfulness Level,4
Bull Terriers,Watchdog/Protective Nature,3
Bull Terriers,Adaptability Level,3
Bull Terriers,Trainability Level,3
Bull Terriers,Energy Level,4
Bull Terriers,Barking Level,3
Bull Terriers,Mental Stimulation Needs,4
Alaskan Malamutes,Affectionate With Family,3
Alaskan Malamutes,Good With Young Children,3
Alaskan Malamutes,Good With Other Dogs,3
Alaskan Malamutes,Shedding Level,3
Alaskan Malamutes,Coat Grooming Frequency,3
Alaskan Malamutes,Drooling Level,1
Alaskan Malamutes,Coat Type,Double
Alaskan Malamutes,Coat Length,Medium
Alaskan Malamutes,Openness To Strangers,3
Alaskan Malamutes,Playfulness Level,3
Alaskan Malamutes,Watchdog/Protective Nature,4
Alaskan Malamutes,Adaptability Level,3
Alaskan Malamutes,Trainability Level,5
Alaskan Malamutes,Energy Level,4
Alaskan Malamutes,Barking Level,3
Alaskan Malamutes,Mental Stimulation Needs,3
Cardigan Welsh Corgis,Affectionate With Family,4
Cardigan Welsh Corgis,Good With Young Children,4
Cardigan Welsh Corgis,Good With Other Dogs,3
Cardigan Welsh Corgis,Shedding Level,3
Cardigan Welsh Corgis,Coat Grooming Frequency,2
Cardigan Welsh Corgis,Drooling Level,1
Cardigan Welsh Corgis,Coat Type,Double
Cardigan Welsh Corgis,Coat Length,Medium
Cardigan Welsh Corgis,Openness To Strangers,4
Cardigan Welsh Corgis,Playfulness Level,4
Cardigan Welsh Corgis,Watchdog/Protective Nature,3
Cardigan Welsh Corgis,Adaptability Level,3
Cardigan Welsh Corgis,Trainability Level,4
Cardigan Welsh Corgis,Energy Level,4
Cardigan Welsh Corgis,Barking Level,5
Cardigan Welsh Corgis,Mental Stimulation Needs,4
Giant Schnauzers,Affectionate With Family,5
Giant Schnauzers,Good With Young Children,3
Giant Schnauzers,Good With Other Dogs,3
Giant Schnauzers,Shedding Level,3
Giant Schnauzers,Coat Grooming Frequency,4
Giant Schnauzers,Drooling Level,2
Giant Schnauzers,Coat Type,Wiry
Giant Schnauzers,Coat Length,Medium
Giant Schnauzers,Openness To Strangers,3
Giant Schnauzers,Playfulness Level,4
Giant Schnauzers,Watchdog/Protective Nature,5
Giant Schnauzers,Adaptability Level,4
Giant Schnauzers,Trainability Level,5
Giant Schnauzers,Energy Level,5
Giant Schnauzers,Barking Level,3
Giant Schnauzers,Mental Stimulation Needs,4
Old English Sheepdogs,Affectionate With Family,5
Old English Sheepdogs,Good With Young Children,5
Old English Sheepdogs,Good With Other Dogs,3
Old English Sheepdogs,Shedding Level,3
Old English Sheepdogs,Coat Grooming Frequency,4
Old English Sheepdogs,Drooling Level,3
Old English Sheepdogs,Coat Type,Double
Old English Sheepdogs,Coat Length,Long
Old English Sheepdogs,Openness To Strangers,3
Old English Sheepdogs,Playfulness Level,4
Old English Sheepdogs,Watchdog/Protective Nature,4
Old English Sheepdogs,Adaptability Level,4
Old English Sheepdogs,Trainability Level,4
Old English Sheepdogs,Energy Level,3
Old English Sheepdogs,Barking Level,3
Old English Sheepdogs,Mental Stimulation Needs,4
Italian Greyhounds,Affectionate With Family,5
Italian Greyhounds,Good With Young Children,3
Italian Greyhounds,Good With Other Dogs,5
Italian Greyhounds,Shedding Level,3
Italian Greyhounds,Coat Grooming Frequency,1
Italian Greyhounds,Drooling Level,1
Italian Greyhounds,Coat Type,Smooth
Italian Greyhounds,Coat Length,Short
Italian Greyhounds,Openness To Strangers,5
Italian Greyhounds,Playfulness Level,4
Italian Greyhounds,Watchdog/Protective Nature,3
Italian Greyhounds,Adaptability Level,4
Italian Greyhounds,Trainability Level,4
Italian Greyhounds,Energy Level,3
Italian Greyhounds,Barking Level,3
Italian Greyhounds,Mental Stimulation Needs,3
Great Pyrenees,Affectionate With Family,5
Great Pyrenees,Good With Young Children,3
Great Pyrenees,Good With Other Dogs,3
Great Pyrenees,Shedding Level,3
Great Pyrenees,Coat Grooming Frequency,2
Great Pyrenees,Drooling Level,3
Great Pyrenees,Coat Type,Double
Great Pyrenees,Coat Length,Medium
Great Pyrenees,Openness To Strangers,3
Great Pyrenees,Playfulness Level,3
Great Pyrenees,Watchdog/Protective Nature,5
Great Pyrenees,Adaptability Level,3
Great Pyrenees,Trainability Level,3
Great Pyrenees,Energy Level,3
Great Pyrenees,Barking Level,3
Great Pyrenees,Mental Stimulation Needs,3
Dogues de Bordeaux,Affectionate With Family,5
Dogues de Bordeaux,Good With Young Children,3
Dogues de Bordeaux,Good With Other Dogs,3
Dogues de Bordeaux,Shedding Level,4
Dogues de Bordeaux,Coat Grooming Frequency,1
Dogues de Bordeaux,Drooling Level,5
Dogues de Bordeaux,Coat Type,Smooth
Dogues de Bordeaux,Coat Length,Short
Dogues de Bordeaux,Openness To Strangers,3
Dogues de Bordeaux,Playfulness Level,3
Dogues de Bordeaux,Watchdog/Protective Nature,5
Dogues de Bordeaux,Adaptability Level,4
Dogues de Bordeaux,Trainability Level,4
Dogues de Bordeaux,Energy Level,3
Dogues de Bordeaux,Barking Level,3
Dogues de Bordeaux,Mental Stimulation Needs,4
Russell Terriers,Affectionate With Family,5
Russell Terriers,Good With Young Children,3
Russell Terriers,Good With Other Dogs,5
Russell Terriers,Shedding Level,3
Russell Terriers,Coat Grooming Frequency,2
Russell Terriers,Drooling Level,1
Russell Terriers,Coat Type,Wiry
Russell Terriers,Coat Length,Short
Russell Terriers,Openness To Strangers,5
Russell Terriers,Playfulness Level,5
Russell Terriers,Watchdog/Protective Nature,4
Russell Terriers,Adaptability Level,4
Russell Terriers,Trainability Level,3
Russell Terriers,Energy Level,5
Russell Terriers,Barking Level,4
Russell Terriers,Mental Stimulation Needs,5
Cairn Terriers,Affectionate With Family,4
Cairn Terriers,Good With Young Children,3
Cairn Terriers,Good With Other Dogs,3
Cairn Terriers,Shedding Level,2
Cairn Terriers,Coat Grooming Frequency,2
Cairn Terriers,Drooling Level,1
Cairn Terriers,Coat Type,Wiry
Cairn Terriers,Coat Length,Medium
Cairn Terriers,Openness To Strangers,3
Cairn Terriers,Playfulness Level,4
Cairn Terriers,Watchdog/Protective Nature,4
Cairn Terriers,Adaptability Level,3
Cairn Terriers,Trainability Level,3
Cairn Terriers,Energy Level,3
Cairn Terriers,Barking Level,4
Cairn Terriers,Mental Stimulation Needs,3
Irish Wolfhounds,Affectionate With Family,5
Irish Wolfhounds,Good With Young Children,3
Irish Wolfhounds,Good With Other Dogs,4
Irish Wolfhounds,Shedding Level,3
Irish Wolfhounds,Coat Grooming Frequency,2
Irish Wolfhounds,Drooling Level,2
Irish Wolfhounds,Coat Type,Wiry
Irish Wolfhounds,Coat Length,Medium
Irish Wolfhounds,Openness To Strangers,3
Irish Wolfhounds,Playfulness Level,3
Irish Wolfhounds,Watchdog/Protective Nature,5
Irish Wolfhounds,Adaptability Level,3
Irish Wolfhounds,Trainability Level,3
Irish Wolfhounds,Energy Level,3
Irish Wolfhounds,Barking Level,1
Irish Wolfhounds,Mental Stimulation Needs,3
Setters (Irish),Affectionate With Family,5
Setters (Irish),Good With Young Children,5
Setters (Irish),Good With Other Dogs,5
Setters (Irish),Shedding Level,3
Setters (Irish),Coat Grooming Frequency,3
Setters (Irish),Drooling Level,2
Setters (Irish),Coat Type,Silky
Setters (Irish),Coat Length,Medium
Setters (Irish),Openness To Strangers,5
Setters (Irish),Playfulness Level,5
Setters (Irish),Watchdog/Protective Nature,3
Setters (Irish),Adaptability Level,4
Setters (Irish),Trainability Level,4
Setters (Irish),Energy Level,5
Setters (Irish),Barking Level,3
Setters (Irish),Mental Stimulation Needs,4
Greater Swiss Mountain Dogs,Affectionate With Family,5
Greater Swiss Mountain Dogs,Good With Young Children,5
Greater Swiss Mountain Dogs,Good With Other Dogs,3
Greater Swiss Mountain Dogs,Shedding Level,3
Greater Swiss Mountain Dogs,Coat Grooming Frequency,2
Greater Swiss Mountain Dogs,Drooling Level,3
Greater Swiss Mountain Dogs,Coat Type,Smooth
Greater Swiss Mountain Dogs,Coat Length,Short
Greater Swiss Mountain Dogs,Openness To Strangers,5
Greater Swiss Mountain Dogs,Playfulness Level,4
Greater Swiss Mountain Dogs,Watchdog/Protective Nature,4
Greater Swiss Mountain Dogs,Adaptability Level,3
Greater Swiss Mountain Dogs,Trainability Level,4
Greater Swiss Mountain Dogs,Energy Level,4
Greater Swiss Mountain Dogs,Barking Level,3
Greater Swiss Mountain Dogs,Mental Stimulation Needs,4
Miniature Pinschers,Affectionate With Family,5
Miniature Pinschers,Good With Young Children,3
Miniature Pinschers,Good With Other Dogs,4
Miniature Pinschers,Shedding Level,3
Miniature Pinschers,Coat Grooming Frequency,1
Miniature Pinschers,Drooling Level,1
Miniature Pinschers,Coat Type,Smooth
Miniature Pinschers,Coat Length,Short
Miniature Pinschers,Openness To Strangers,3
Miniature Pinschers,Playfulness Level,4
Miniature Pinschers,Watchdog/Protective Nature,5
Miniature Pinschers,Adaptability Level,4
Miniature Pinschers,Trainability Level,3
Miniature Pinschers,Energy Level,5
Miniature Pinschers,Barking Level,5
Miniature Pinschers,Mental Stimulation Needs,5
Lhasa Apsos,Affectionate With Family,5
Lhasa Apsos,Good With Young Children,3
Lhasa Apsos,Good With Other Dogs,3
Lhasa Apsos,Shedding Level,1
Lhasa Apsos,Coat Grooming Frequency,3
Lhasa Apsos,Drooling Level,1
Lhasa Apsos,Coat Type,Silky
Lhasa Apsos,Coat Length,Long
Lhasa Apsos,Openness To Strangers,3
Lhasa Apsos,Playfulness Level,3
Lhasa Apsos,Watchdog/Protective Nature,5
Lhasa Apsos,Adaptability Level,5
Lhasa Apsos,Trainability Level,3
Lhasa Apsos,Energy Level,3
Lhasa Apsos,Barking Level,3
Lhasa Apsos,Mental Stimulation Needs,3
Chinese Crested,Affectionate With Family,4
Chinese Crested,Good With Young Children,3
Chinese Crested,Good With Other Dogs,3
Chinese Crested,Shedding Level,1
Chinese Crested,Coat Grooming Frequency,2
Chinese Crested,Drooling Level,1
Chinese Crested,Coat Type,Hairless
Chinese Crested,Coat Length,Short
Chinese Crested,Openness To Strangers,4
Chinese Crested,Playfulness Level,3
Chinese Crested,Watchdog/Protective Nature,3
Chinese Crested,Adaptability Level,4
Chinese Crested,Trainability Level,4
Chinese Crested,Energy Level,3
Chinese Crested,Barking Level,3
Chinese Crested,Mental Stimulation Needs,3
Coton de Tulear,Affectionate With Family,5
Coton de Tulear,Good With Young Children,5
Coton de Tulear,Good With Other Dogs,5
Coton de Tulear,Shedding Level,2
Coton de Tulear,Coat Grooming Frequency,4
Coton de Tulear,Drooling Level,1
Coton de Tulear,Coat Type,Double
Coton de Tulear,Coat Length,Long
Coton de Tulear,Openness To Strangers,5
Coton de Tulear,Playfulness Level,4
Coton de Tulear,Watchdog/Protective Nature,3
Coton de Tulear,Adaptability Level,4
Coton de Tulear,Trainability Level,4
Coton de Tulear,Energy Level,3
Coton de Tulear,Barking Level,1
Coton de Tulear,Mental Stimulation Needs,3
Staffordshire Bull Terriers,Affectionate With Family,5
Staffordshire Bull Terriers,Good With Young Children,5
Staffordshire Bull Terriers,Good With Other Dogs,3
Staffordshire Bull Terriers,Shedding Level,2
Staffordshire Bull Terriers,Coat Grooming Frequency,2
Staffordshire Bull Terriers,Drooling Level,3
Staffordshire Bull Terriers,Coat Type,Smooth
Staffordshire Bull Terriers,Coat Length,Short
Staffordshire Bull Terriers,Openness To Strangers,4
Staffordshire Bull Terriers,Playfulness Level,4
Staffordshire Bull Terriers,Watchdog/Protective Nature,5
Staffordshire Bull Terriers,Adaptability Level,5
Staffordshire Bull Terriers,Trainability Level,5
Staffordshire Bull Terriers,Energy Level,4
Staffordshire Bull Terriers,Barking Level,3
Staffordshire Bull Terriers,Mental Stimulation Needs,4
American Staffordshire Terriers,Affectionate With Family,5
American Staffordshire Terriers,Good With Young Children,3
American Staffordshire Terriers,Good With Other Dogs,3
American Staffordshire Terriers,Shedding Level,2
American Staffordshire Terriers,Coat Grooming Frequency,1
American Staffordshire Terriers,Drooling Level,1
American Staffordshire Terriers,Coat Type,Smooth
American Staffordshire Terriers,Coat Length,Short
American Staffordshire Terriers,Openness To Strangers,4
American Staffordshire Terriers,Playfulness Level,3
American Staffordshire Terriers,Watchdog/Protective Nature,5
American Staffordshire Terriers,Adaptability Level,3
American Staffordshire Terriers,Trainability Level,3
American Staffordshire Terriers,Energy Level,3
American Staffordshire Terriers,Barking Level,3
American Staffordshire Terriers,Mental Stimulation Needs,3
Rat Terriers,Affectionate With Family,5
Rat Terriers,Good With Young Children,5
Rat Terriers,Good With Other Dogs,3
Rat Terriers,Shedding Level,3
Rat Terriers,Coat Grooming Frequency,2
Rat Terriers,Drooling Level,1
Rat Terriers,Coat Type,Smooth
Rat Terriers,Coat Length,Short
Rat Terriers,Openness To Strangers,5
Rat Terriers,Playfulness Level,5
Rat Terriers,Watchdog/Protective Nature,4
Rat Terriers,Adaptability Level,4
Rat Terriers,Trainability Level,5
Rat Terriers,Energy Level,4
Rat Terriers,Barking Level,3
Rat Terriers,Mental Stimulation Needs,5
Chow Chows,Affectionate With Family,4
Chow Chows,Good With Young Children,3
Chow Chows,Good With Other Dogs,2
Chow Chows,Shedding Level,3
Chow Chows,Coat Grooming Frequency,3
Chow Chows,Drooling Level,3
Chow Chows,Coat Type,Smooth
Chow Chows,Coat Length,Medium
Chow Chows,Openness To Strangers,2
Chow Chows,Playfulness Level,3
Chow Chows,Watchdog/Protective Nature,5
Chow Chows,Adaptability Level,3
Chow Chows,Trainability Level,3
Chow Chows,Energy Level,3
Chow Chows,Barking Level,1
Chow Chows,Mental Stimulation Needs,3
Anatolian Shepherd Dogs,Affectionate With Family,1
Anatolian Shepherd Dogs,Good With Young Children,3
Anatolian Shepherd Dogs,Good With Other Dogs,3
Anatolian Shepherd Dogs,Shedding Level,3
Anatolian Shepherd Dogs,Coat Grooming Frequency,2
Anatolian Shepherd Dogs,Drooling Level,1
Anatolian Shepherd Dogs,Coat Type,Smooth
Anatolian Shepherd Dogs,Coat Length,Short
Anatolian Shepherd Dogs,Openness To Strangers,1
Anatolian Shepherd Dogs,Playfulness Level,3
Anatolian Shepherd Dogs,Watchdog/Protective Nature,5
Anatolian Shepherd Dogs,Adaptability Level,3
Anatolian Shepherd Dogs,Trainability Level,2
Anatolian Shepherd Dogs,Energy Level,3
Anatolian Shepherd Dogs,Barking Level,3
Anatolian Shepherd Dogs,Mental Stimulation Needs,3
Basenjis,Affectionate With Family,3
Basenjis,Good With Young Children,3
Basenjis,Good With Other Dogs,3
Basenjis,Shedding Level,2
Basenjis,Coat Grooming Frequency,1
Basenjis,Drooling Level,1
Basenjis,Coat Type,Smooth
Basenjis,Coat Length,Short
Basenjis,Openness To Strangers,3
Basenjis,Playfulness Level,3
Basenjis,Watchdog/Protective Nature,3
Basenjis,Adaptability Level,3
Basenjis,Trainability Level,2
Basenjis,Energy Level,4
Basenjis,Barking Level,1
Basenjis,Mental Stimulation Needs,4
Spaniels (Boykin),Affectionate With Family,3
Spaniels (Boykin),Good With Young Children,5
Spaniels (Boykin),Good With Other Dogs,5
Spaniels (Boykin),Shedding Level,3
Spaniels (Boykin),Coat Grooming Frequency,3
Spaniels (Boykin),Drooling Level,1
Spaniels (Boykin),Coat Type,Double
Spaniels (Boykin),Coat Length,Medium
Spaniels (Boykin),Openness To Strangers,3
Spaniels (Boykin),Playfulness Level,4
Spaniels (Boykin),Watchdog/Protective Nature,3
Spaniels (Boykin),Adaptability Level,4
Spaniels (Boykin),Trainability Level,4
Spaniels (Boykin),Energy Level,4
Spaniels (Boykin),Barking Level,3
Spaniels (Boykin),Mental Stimulation Needs,3
Lagotti Romagnoli,Affectionate With Family,5
Lagotti Romagnoli,Good With Young Children,3
Lagotti Romagnoli,Good With Other Dogs,5
Lagotti Romagnoli,Shedding Level,1
Lagotti Romagnoli,Coat Grooming Frequency,2
Lagotti Romagnoli,Drooling Level,2
Lagotti Romagnoli,Coat Type,Double
Lagotti Romagnoli,Coat Length,Medium
